msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
27,23,28,469,1503,2024-12-13T07:50:22.8685294Z,1,2024-12-13T07:49:03.4660000Z,Record
28,23,29,464,1490,2024-12-13T07:50:22.9155924Z,1,2024-12-13T07:49:13.5130000Z,Record
29,23,28,462,1482,2024-12-13T07:50:22.9156791Z,1,2024-12-13T07:49:23.5300000Z,Record
30,23,28,454,1472,2024-12-13T07:50:22.9157248Z,1,2024-12-13T07:49:33.5930000Z,Record
31,23,28,448,1457,2024-12-13T07:50:22.9157743Z,1,2024-12-13T07:49:43.6240000Z,Record
32,23,28,442,1451,2024-12-13T07:50:22.9158290Z,1,2024-12-13T07:49:53.6550000Z,Record
33,23,28,438,1437,2024-12-13T07:50:22.9158729Z,1,2024-12-13T07:50:03.7020000Z,Record
34,23,29,457,1425,2024-12-13T07:50:22.9159160Z,1,2024-12-13T07:50:13.7340000Z,Record
35,23,29,413,1423,2024-12-13T07:50:23.9840147Z,1,2024-12-13T07:50:23.7810000Z,Record
36,23,29,427,1421,2024-12-13T07:50:33.9399958Z,1,2024-12-13T07:50:33.8280000Z,Record
37,23,29,392,1399,2024-12-13T07:50:43.9540019Z,1,2024-12-13T07:50:43.8750000Z,Record
38,23,28,414,1389,2024-12-13T07:50:54.1404753Z,1,2024-12-13T07:50:53.9060000Z,Record
39,23,29,411,1382,2024-12-13T07:51:04.1093137Z,1,2024-12-13T07:51:03.9570000Z,Record
40,23,29,404,1376,2024-12-13T07:51:14.1870482Z,1,2024-12-13T07:51:13.9730000Z,Record
41,23,28,403,1361,2024-12-13T07:51:24.2495226Z,1,2024-12-13T07:51:24.0200000Z,Record
42,23,28,401,1355,2024-12-13T07:51:34.3275827Z,1,2024-12-13T07:51:34.1140000Z,Record
43,23,29,398,1347,2024-12-13T07:51:44.2806874Z,1,2024-12-13T07:51:44.0830000Z,Record
44,23,28,400,1337,2024-12-13T07:51:54.2367610Z,1,2024-12-13T07:51:54.1450000Z,Record
45,23,29,393,1327,2024-12-13T07:52:04.4058722Z,1,2024-12-13T07:52:04.1770000Z,Record
46,23,29,387,1314,2024-12-13T07:52:14.3644860Z,1,2024-12-13T07:52:14.2240000Z,Record
47,23,28,384,1307,2024-12-13T07:52:24.4428276Z,1,2024-12-13T07:52:24.2550000Z,Record
48,23,29,383,1301,2024-12-13T07:52:34.3989983Z,1,2024-12-13T07:52:34.2710000Z,Record
49,23,29,378,1290,2024-12-13T07:52:44.4586281Z,1,2024-12-13T07:52:44.3180000Z,Record
50,23,29,382,1286,2024-12-13T07:52:54.5213891Z,1,2024-12-13T07:52:54.3650000Z,Record
51,23,29,374,1286,2024-12-13T07:53:04.5845647Z,1,2024-12-13T07:53:04.4110000Z,Record
52,23,29,372,1271,2024-12-13T07:53:14.6473097Z,1,2024-12-13T07:53:14.4450000Z,Record
53,23,29,378,1263,2024-12-13T07:53:24.7253404Z,1,2024-12-13T07:53:24.4930000Z,Record
54,23,29,351,1253,2024-12-13T07:53:34.6964726Z,1,2024-12-13T07:53:34.5240000Z,Record
55,23,29,368,1248,2024-12-13T07:53:44.6525416Z,1,2024-12-13T07:53:44.5870000Z,Record
56,23,28,367,1248,2024-12-13T07:53:54.8212509Z,1,2024-12-13T07:53:54.6030000Z,Record
57,23,29,367,1240,2024-12-13T07:54:04.8840169Z,1,2024-12-13T07:54:04.6980000Z,Record
58,23,29,359,1227,2024-12-13T07:54:14.8531501Z,1,2024-12-13T07:54:14.6820000Z,Record
59,23,29,361,1227,2024-12-13T07:54:24.9313670Z,1,2024-12-13T07:54:24.7130000Z,Record
60,23,29,361,1222,2024-12-13T07:54:35.0091818Z,1,2024-12-13T07:54:34.7760000Z,Record
61,23,29,366,1226,2024-12-13T07:54:44.9622871Z,1,2024-12-13T07:54:44.8070000Z,Record
62,23,28,347,1191,2024-12-13T07:54:55.0250769Z,1,2024-12-13T07:54:54.8390000Z,Record
63,23,28,355,1212,2024-12-13T07:55:05.0876499Z,1,2024-12-13T07:55:04.8880000Z,Record
64,23,29,350,1201,2024-12-13T07:55:15.1655962Z,1,2024-12-13T07:55:14.9270000Z,Record
65,23,29,347,1198,2024-12-13T07:55:25.1345537Z,1,2024-12-13T07:55:24.9580000Z,Record
66,23,29,347,1190,2024-12-13T07:55:35.0892898Z,1,2024-12-13T07:55:34.9900000Z,Record
67,24,29,350,1182,2024-12-13T07:55:45.2596523Z,1,2024-12-13T07:55:45.0370000Z,Record
68,24,29,342,1179,2024-12-13T07:55:55.2285173Z,1,2024-12-13T07:55:55.0680000Z,Record
69,25,28,342,1171,2024-12-13T07:56:05.3068158Z,1,2024-12-13T07:56:05.1150000Z,Record
70,23,29,339,1168,2024-12-13T07:56:15.3850049Z,1,2024-12-13T07:56:15.1470000Z,Record
71,23,29,336,1159,2024-12-13T07:56:25.3537826Z,1,2024-12-13T07:56:25.1940000Z,Record
72,23,29,346,1161,2024-12-13T07:56:35.4170005Z,1,2024-12-13T07:56:35.2400000Z,Record
73,23,29,336,1158,2024-12-13T07:56:45.4947212Z,1,2024-12-13T07:56:45.2560000Z,Record
74,23,29,337,1157,2024-12-13T07:56:55.5572750Z,1,2024-12-13T07:56:55.3200000Z,Record
75,23,30,338,1156,2024-12-13T07:57:05.4183340Z,1,2024-12-13T07:57:05.3510000Z,Record
76,23,30,336,1157,2024-12-13T07:57:15.5885592Z,1,2024-12-13T07:57:15.3820000Z,Record
77,23,28,336,1151,2024-12-13T07:57:25.6512074Z,1,2024-12-13T07:57:25.4290000Z,Record
78,23,28,336,1149,2024-12-13T07:57:35.6048399Z,1,2024-12-13T07:57:35.4450000Z,Record
79,23,28,327,1143,2024-12-13T07:57:45.5605482Z,1,2024-12-13T07:57:45.5230000Z,Record
80,23,28,335,1141,2024-12-13T07:57:55.8386971Z,1,2024-12-13T07:57:55.5700000Z,Record
81,23,28,335,1138,2024-12-13T07:58:05.6843768Z,1,2024-12-13T07:58:05.6010000Z,Record
82,23,28,336,1138,2024-12-13T07:58:15.7468621Z,1,2024-12-13T07:58:15.6170000Z,Record
83,23,29,333,1135,2024-12-13T07:58:25.8233717Z,1,2024-12-13T07:58:25.6480000Z,Record
84,23,29,381,1130,2024-12-13T07:58:35.7796251Z,1,2024-12-13T07:58:35.6950000Z,Record
85,23,29,334,1122,2024-12-13T07:58:45.9485405Z,1,2024-12-13T07:58:45.7260000Z,Record
86,23,29,328,1122,2024-12-13T07:58:56.0111875Z,1,2024-12-13T07:58:55.7730000Z,Record
87,23,28,326,1126,2024-12-13T07:59:05.9801976Z,1,2024-12-13T07:59:05.8210000Z,Record
88,23,29,324,1119,2024-12-13T07:59:16.0433754Z,1,2024-12-13T07:59:15.8520000Z,Record
89,23,29,322,1114,2024-12-13T07:59:26.1051760Z,1,2024-12-13T07:59:25.8990000Z,Record
90,23,29,326,1117,2024-12-13T07:59:36.1684194Z,1,2024-12-13T07:59:35.9460000Z,Record
91,23,29,331,1114,2024-12-13T07:59:46.0281563Z,1,2024-12-13T07:59:45.9840000Z,Record
92,23,29,323,1111,2024-12-13T07:59:56.1990897Z,1,2024-12-13T07:59:56.0150000Z,Record
93,23,29,320,1108,2024-12-13T08:00:06.2929582Z,1,2024-12-13T08:00:06.0780000Z,Record
94,23,28,322,1108,2024-12-13T08:00:16.2774846Z,1,2024-12-13T08:00:16.1090000Z,Record
95,23,28,320,1105,2024-12-13T08:00:26.2320307Z,1,2024-12-13T08:00:26.1090000Z,Record
96,23,29,322,1095,2024-12-13T08:00:36.4024767Z,1,2024-12-13T08:00:36.1720000Z,Record
97,23,29,321,1095,2024-12-13T08:00:46.3558336Z,1,2024-12-13T08:00:46.2190000Z,Record
98,23,29,319,1093,2024-12-13T08:00:56.4189730Z,1,2024-12-13T08:00:56.2660000Z,Record
99,23,29,319,1093,2024-12-13T08:01:06.4811166Z,1,2024-12-13T08:01:06.2660000Z,Record
100,23,29,311,1088,2024-12-13T08:01:16.5589050Z,1,2024-12-13T08:01:16.3600000Z,Record
101,23,29,316,1088,2024-12-13T08:01:26.5139784Z,1,2024-12-13T08:01:26.3910000Z,Record
102,23,29,314,1088,2024-12-13T08:01:36.5904905Z,1,2024-12-13T08:01:36.3910000Z,Record
103,23,29,315,1087,2024-12-13T08:01:46.5489053Z,1,2024-12-13T08:01:46.4690000Z,Record
104,23,29,313,1083,2024-12-13T08:01:56.6100951Z,1,2024-12-13T08:01:56.5000000Z,Record
105,23,29,314,1077,2024-12-13T08:02:06.7805035Z,1,2024-12-13T08:02:06.5470000Z,Record
106,23,29,314,1076,2024-12-13T08:02:16.7335895Z,1,2024-12-13T08:02:16.5780000Z,Record
107,23,28,307,1089,2024-12-13T08:02:26.7963152Z,1,2024-12-13T08:02:26.6110000Z,Record
108,23,29,311,1073,2024-12-13T08:02:36.8750469Z,1,2024-12-13T08:02:36.6420000Z,Record
109,23,29,307,1072,2024-12-13T08:02:46.8433035Z,1,2024-12-13T08:02:46.6890000Z,Record
110,23,29,311,1073,2024-12-13T08:02:56.9214500Z,1,2024-12-13T08:02:56.7050000Z,Record
111,23,29,309,1067,2024-12-13T08:03:06.9868222Z,1,2024-12-13T08:03:06.7520000Z,Record
112,23,29,299,1038,2024-12-13T08:03:16.9555532Z,1,2024-12-13T08:03:16.8180000Z,Record
113,23,28,313,1067,2024-12-13T08:03:27.0176440Z,1,2024-12-13T08:03:26.8500000Z,Record
114,23,29,305,1069,2024-12-13T08:03:37.0958115Z,1,2024-12-13T08:03:36.8660000Z,Record
115,23,29,311,1069,2024-12-13T08:03:47.0490860Z,1,2024-12-13T08:03:46.9130000Z,Record
116,23,29,314,1069,2024-12-13T08:03:57.1116517Z,1,2024-12-13T08:03:56.9450000Z,Record
117,24,29,309,1070,2024-12-13T08:04:07.1743277Z,1,2024-12-13T08:04:06.9920000Z,Record
118,23,29,310,1069,2024-12-13T08:04:17.2367501Z,1,2024-12-13T08:04:17.0390000Z,Record
119,23,29,311,1072,2024-12-13T08:04:27.2056319Z,1,2024-12-13T08:04:27.0700000Z,Record
120,23,29,305,1067,2024-12-13T08:04:37.2684703Z,1,2024-12-13T08:04:37.1020000Z,Record
121,23,29,308,1063,2024-12-13T08:04:47.3313077Z,1,2024-12-13T08:04:47.1490000Z,Record
