msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
0,21,31,1058,2351,2024-12-18T04:46:16.6601326Z,1,2024-12-18T04:46:16.4360000Z,Record
1,21,29,1023,2335,2024-12-18T04:46:26.5659393Z,1,2024-12-18T04:46:26.4520000Z,Record
2,20,28,987,2298,2024-12-18T04:46:36.6728427Z,1,2024-12-18T04:46:36.4830000Z,Record
3,20,30,954,2277,2024-12-18T04:46:46.6293865Z,1,2024-12-18T04:46:46.5140000Z,Record
4,21,29,847,2242,2024-12-18T04:46:56.8130916Z,1,2024-12-18T04:46:56.6080000Z,Record
5,25,35,898,2217,2024-12-18T04:47:06.6616536Z,1,2024-12-18T04:47:06.6080000Z,Record
6,21,29,853,2160,2024-12-18T04:47:16.8597902Z,1,2024-12-18T04:47:16.6560000Z,Record
7,21,29,858,2183,2024-12-18T04:47:26.8442830Z,1,2024-12-18T04:47:26.6730000Z,Record
8,21,30,831,2158,2024-12-18T04:47:36.9221711Z,1,2024-12-18T04:47:36.7360000Z,Record
9,21,30,813,2135,2024-12-18T04:47:46.9846953Z,1,2024-12-18T04:47:46.7920000Z,Record
10,21,31,789,2122,2024-12-18T04:47:56.9377260Z,1,2024-12-18T04:47:56.7760000Z,Record
11,21,31,778,2103,2024-12-18T04:48:07.0018594Z,1,2024-12-18T04:48:06.8740000Z,Record
