msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
6,20,31,1063,2063,2024-12-14T14:08:26.8090726Z,1,2024-12-14T14:06:54.1330000Z,Record
7,20,31,1077,2095,2024-12-14T14:08:27.0905456Z,1,2024-12-14T14:07:04.1800000Z,Record
8,20,31,1068,2090,2024-12-14T14:08:27.0907016Z,1,2024-12-14T14:07:14.2270000Z,Record
9,20,31,1059,2078,2024-12-14T14:08:27.0908316Z,1,2024-12-14T14:07:24.2430000Z,Record
10,20,31,1042,2064,2024-12-14T14:08:27.0908946Z,1,2024-12-14T14:07:34.2910000Z,Record
11,20,31,1023,2037,2024-12-14T14:08:27.0909461Z,1,2024-12-14T14:07:44.3070000Z,Record
12,18,25,1014,2029,2024-12-14T14:08:27.0910179Z,1,2024-12-14T14:07:54.3700000Z,Record
13,28,32,1008,2020,2024-12-14T14:08:27.0910725Z,1,2024-12-14T14:08:04.3860000Z,Record
14,27,27,994,2007,2024-12-14T14:08:27.0911372Z,1,2024-12-14T14:08:14.4480000Z,Record
15,20,31,990,2005,2024-12-14T14:08:27.0911990Z,1,2024-12-14T14:08:24.4790000Z,Record
16,20,31,981,1990,2024-12-14T14:08:34.7644313Z,1,2024-12-14T14:08:34.5260000Z,Record
17,20,31,970,1975,2024-12-14T14:08:44.7478929Z,1,2024-12-14T14:08:44.5580000Z,Record
18,20,31,960,1964,2024-12-14T14:08:54.7037073Z,1,2024-12-14T14:08:54.5890000Z,Record
19,20,32,953,1951,2024-12-14T14:09:04.8421095Z,1,2024-12-14T14:09:04.6360000Z,Record
20,20,31,960,1947,2024-12-14T14:09:14.8262452Z,1,2024-12-14T14:09:14.6830000Z,Record
21,20,32,944,1937,2024-12-14T14:09:24.7964772Z,1,2024-12-14T14:09:24.7140000Z,Record
22,20,31,935,1935,2024-12-14T14:09:34.9822623Z,1,2024-12-14T14:09:34.7450000Z,Record
23,20,31,931,1931,2024-12-14T14:09:45.0126684Z,1,2024-12-14T14:09:44.7920000Z,Record
24,20,34,927,1923,2024-12-14T14:09:54.9976018Z,1,2024-12-14T14:09:54.8390000Z,Record
25,20,31,923,1917,2024-12-14T14:10:05.0753550Z,1,2024-12-14T14:10:04.8700000Z,Record
26,20,35,914,1904,2024-12-14T14:10:15.0442714Z,1,2024-12-14T14:10:14.9020000Z,Record
27,20,31,909,1887,2024-12-14T14:10:25.0145498Z,1,2024-12-14T14:10:24.9330000Z,Record
28,20,31,910,1898,2024-12-14T14:10:35.1998068Z,1,2024-12-14T14:10:34.9800000Z,Record
29,20,30,902,1890,2024-12-14T14:10:45.1531010Z,1,2024-12-14T14:10:45.0110000Z,Record
30,20,31,899,1886,2024-12-14T14:10:55.2466726Z,1,2024-12-14T14:10:55.0580000Z,Record
31,20,31,895,1882,2024-12-14T14:11:05.2021682Z,1,2024-12-14T14:11:05.0890000Z,Record
32,20,31,882,1873,2024-12-14T14:11:15.3873576Z,1,2024-12-14T14:11:15.1360000Z,Record
33,20,31,867,1840,2024-12-14T14:11:25.2830708Z,1,2024-12-14T14:11:25.1830000Z,Record
34,20,31,889,1875,2024-12-14T14:11:30.4183160Z,1,2024-12-14T14:11:30.2140000Z,Record
35,24,29,879,1861,2024-12-14T14:11:40.2960600Z,1,2024-12-14T14:11:40.2610000Z,Record
36,29,27,874,1854,2024-12-14T14:11:50.3731503Z,1,2024-12-14T14:11:50.3080000Z,Record
37,32,29,848,1809,2024-12-14T14:12:00.5588263Z,1,2024-12-14T14:12:00.3400000Z,Record
38,20,31,863,1843,2024-12-14T14:12:10.5430471Z,1,2024-12-14T14:12:10.3860000Z,Record
39,20,31,861,1843,2024-12-14T14:12:20.6372812Z,1,2024-12-14T14:12:20.4180000Z,Record
40,20,31,854,1834,2024-12-14T14:12:30.5140725Z,1,2024-12-14T14:12:30.4520000Z,Record
41,20,31,854,1830,2024-12-14T14:12:40.6839726Z,1,2024-12-14T14:12:40.4990000Z,Record
42,20,32,849,1826,2024-12-14T14:12:50.7617407Z,1,2024-12-14T14:12:50.5310000Z,Record
43,20,32,848,1829,2024-12-14T14:13:00.7152269Z,1,2024-12-14T14:13:00.5770000Z,Record
44,20,32,850,1833,2024-12-14T14:13:10.7927283Z,1,2024-12-14T14:13:10.6090000Z,Record
45,20,31,849,1870,2024-12-14T14:13:20.7172812Z,1,2024-12-14T14:13:20.6400000Z,Record
46,20,30,848,1829,2024-12-14T14:13:30.8239465Z,1,2024-12-14T14:13:30.6870000Z,Record
47,20,33,843,1825,2024-12-14T14:13:40.8879458Z,1,2024-12-14T14:13:40.7340000Z,Record
48,20,31,841,1827,2024-12-14T14:13:50.9800423Z,1,2024-12-14T14:13:50.7650000Z,Record
49,20,30,839,1825,2024-12-14T14:14:01.0433426Z,1,2024-12-14T14:14:00.7970000Z,Record
50,20,35,835,1814,2024-12-14T14:14:11.0112237Z,1,2024-12-14T14:14:10.8440000Z,Record
51,20,31,836,1819,2024-12-14T14:14:21.0737924Z,1,2024-12-14T14:14:20.8750000Z,Record
52,20,30,831,1809,2024-12-14T14:14:30.9499840Z,1,2024-12-14T14:14:30.9220000Z,Record
53,20,31,830,1809,2024-12-14T14:14:41.1362625Z,1,2024-12-14T14:14:40.9690000Z,Record
54,20,31,817,1818,2024-12-14T14:14:51.2140931Z,1,2024-12-14T14:14:51.0010000Z,Record
55,20,31,830,1821,2024-12-14T14:15:01.1681259Z,1,2024-12-14T14:15:01.0320000Z,Record
56,20,31,805,1776,2024-12-14T14:15:11.1389467Z,1,2024-12-14T14:15:11.0630000Z,Record
57,20,31,807,1788,2024-12-14T14:15:21.2220423Z,1,2024-12-14T14:15:21.1100000Z,Record
58,20,31,806,1794,2024-12-14T14:15:31.1839744Z,1,2024-12-14T14:15:31.1420000Z,Record
59,20,31,817,1808,2024-12-14T14:15:41.3863513Z,1,2024-12-14T14:15:41.2040000Z,Record
60,20,31,822,1821,2024-12-14T14:15:51.3410811Z,1,2024-12-14T14:15:51.2200000Z,Record
61,21,30,817,1815,2024-12-14T14:16:01.4340327Z,1,2024-12-14T14:16:01.2670000Z,Record
62,20,28,817,1821,2024-12-14T14:16:11.5262927Z,1,2024-12-14T14:16:11.3140000Z,Record
63,24,26,818,1819,2024-12-14T14:16:21.5108678Z,1,2024-12-14T14:16:21.3610000Z,Record
64,20,31,805,1795,2024-12-14T14:16:31.4844041Z,1,2024-12-14T14:16:31.3930000Z,Record
65,23,28,804,1828,2024-12-14T14:16:41.6670888Z,1,2024-12-14T14:16:41.4270000Z,Record
66,20,30,827,1854,2024-12-14T14:16:51.5277835Z,1,2024-12-14T14:16:51.4740000Z,Record
67,20,31,834,1862,2024-12-14T14:17:01.7294001Z,1,2024-12-14T14:17:01.5060000Z,Record
68,21,32,830,1862,2024-12-14T14:17:11.6219182Z,1,2024-12-14T14:17:11.5380000Z,Record
69,20,32,834,1861,2024-12-14T14:17:21.7291409Z,1,2024-12-14T14:17:21.5850000Z,Record
70,20,32,835,1869,2024-12-14T14:17:31.8068332Z,1,2024-12-14T14:17:31.6160000Z,Record
71,20,33,833,1863,2024-12-14T14:17:41.8695113Z,1,2024-12-14T14:17:41.6630000Z,Record
72,20,32,838,1866,2024-12-14T14:17:51.8380535Z,1,2024-12-14T14:17:51.6960000Z,Record
73,20,30,814,1826,2024-12-14T14:18:01.9165975Z,1,2024-12-14T14:18:01.7270000Z,Record
74,22,34,833,1872,2024-12-14T14:18:11.9941086Z,1,2024-12-14T14:18:11.7750000Z,Record
75,20,30,837,1875,2024-12-14T14:18:21.9629288Z,1,2024-12-14T14:18:21.8060000Z,Record
76,20,34,839,1875,2024-12-14T14:18:31.9513264Z,1,2024-12-14T14:18:31.8530000Z,Record
77,20,30,832,1868,2024-12-14T14:18:42.0567647Z,1,2024-12-14T14:18:41.8840000Z,Record
78,20,30,830,1869,2024-12-14T14:18:52.1345778Z,1,2024-12-14T14:18:51.9310000Z,Record
79,20,36,833,1872,2024-12-14T14:19:02.1497072Z,1,2024-12-14T14:19:01.9780000Z,Record
80,20,30,829,1865,2024-12-14T14:19:12.1048854Z,1,2024-12-14T14:19:12.0100000Z,Record
81,20,30,819,1846,2024-12-14T14:19:22.2122744Z,1,2024-12-14T14:19:22.0410000Z,Record
82,20,30,818,1849,2024-12-14T14:19:32.2749257Z,1,2024-12-14T14:19:32.0730000Z,Record
83,20,30,820,1855,2024-12-14T14:19:42.3530476Z,1,2024-12-14T14:19:42.1350000Z,Record
84,20,30,795,1810,2024-12-14T14:19:52.3376906Z,1,2024-12-14T14:19:52.1510000Z,Record
85,20,30,794,1806,2024-12-14T14:20:02.3082044Z,1,2024-12-14T14:20:02.2020000Z,Record
86,20,30,789,1802,2024-12-14T14:20:12.3843654Z,1,2024-12-14T14:20:12.2330000Z,Record
87,20,30,811,1846,2024-12-14T14:20:22.4465945Z,1,2024-12-14T14:20:22.2800000Z,Record
88,21,29,815,1851,2024-12-14T14:20:32.5405063Z,1,2024-12-14T14:20:32.3110000Z,Record
89,22,29,800,1847,2024-12-14T14:20:42.4203120Z,1,2024-12-14T14:20:42.3750000Z,Record
90,27,31,787,1808,2024-12-14T14:20:52.4953537Z,1,2024-12-14T14:20:52.4060000Z,Record
91,23,29,816,1843,2024-12-14T14:21:02.5869372Z,1,2024-12-14T14:21:02.4370000Z,Record
92,22,8,816,1862,2024-12-14T14:21:12.6495405Z,1,2024-12-14T14:21:12.4840000Z,Record
93,20,30,814,1854,2024-12-14T14:21:22.7312639Z,1,2024-12-14T14:21:22.5150000Z,Record
94,20,30,817,1851,2024-12-14T14:21:32.7453904Z,1,2024-12-14T14:21:32.5470000Z,Record
95,20,30,809,1842,2024-12-14T14:21:42.6979923Z,1,2024-12-14T14:21:42.5940000Z,Record
96,20,31,805,1847,2024-12-14T14:21:52.6836119Z,1,2024-12-14T14:21:52.6260000Z,Record
97,20,31,814,1849,2024-12-14T14:22:02.8994060Z,1,2024-12-14T14:22:02.6570000Z,Record
98,20,32,816,1855,2024-12-14T14:22:12.8680367Z,1,2024-12-14T14:22:12.7200000Z,Record
99,20,32,817,1862,2024-12-14T14:22:22.9770654Z,1,2024-12-14T14:22:22.7510000Z,Record
100,30,32,822,1875,2024-12-14T14:22:32.9311620Z,1,2024-12-14T14:22:32.7830000Z,Record
101,20,32,825,1872,2024-12-14T14:22:43.0241910Z,1,2024-12-14T14:22:42.8300000Z,Record
102,20,30,821,1873,2024-12-14T14:22:53.0243387Z,1,2024-12-14T14:22:52.8770000Z,Record
103,20,34,818,1867,2024-12-14T14:23:03.0867672Z,1,2024-12-14T14:23:02.9080000Z,Record
104,27,34,791,1865,2024-12-14T14:23:13.0413859Z,1,2024-12-14T14:23:12.9550000Z,Record
105,20,30,816,1859,2024-12-14T14:23:23.1335248Z,1,2024-12-14T14:23:22.9710000Z,Record
106,20,35,818,1902,2024-12-14T14:23:33.1188971Z,1,2024-12-14T14:23:33.0180000Z,Record
107,20,30,811,1855,2024-12-14T14:23:43.1820778Z,1,2024-12-14T14:23:43.0650000Z,Record
108,20,30,815,1843,2024-12-14T14:23:53.2585789Z,1,2024-12-14T14:23:53.0960000Z,Record
109,20,30,812,1859,2024-12-14T14:24:03.3520941Z,1,2024-12-14T14:24:03.1280000Z,Record
110,21,29,809,1869,2024-12-14T14:24:13.3517816Z,1,2024-12-14T14:24:13.1750000Z,Record
111,20,30,816,1872,2024-12-14T14:24:23.4450679Z,1,2024-12-14T14:24:23.2220000Z,Record
112,20,30,784,1811,2024-12-14T14:24:33.3061812Z,1,2024-12-14T14:24:33.2530000Z,Record
113,20,30,780,1802,2024-12-14T14:24:43.3846951Z,1,2024-12-14T14:24:43.3000000Z,Record
114,20,30,805,1852,2024-12-14T14:24:53.4605381Z,1,2024-12-14T14:24:53.3320000Z,Record
115,20,30,813,1862,2024-12-14T14:25:03.5386548Z,1,2024-12-14T14:25:03.3790000Z,Record
