msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
21,21,29,634,1974,2024-12-18T04:51:03.8042133Z,1,2024-12-18T04:49:47.2410000Z,Record
22,21,29,618,1957,2024-12-18T04:51:04.0817379Z,1,2024-12-18T04:49:57.2880000Z,Record
23,21,29,607,1943,2024-12-18T04:51:04.0818569Z,1,2024-12-18T04:50:07.3200000Z,Record
24,21,29,595,1936,2024-12-18T04:51:04.0819271Z,1,2024-12-18T04:50:17.3520000Z,Record
25,22,29,592,1927,2024-12-18T04:51:04.0820097Z,1,2024-12-18T04:50:27.3990000Z,Record
26,21,29,576,1922,2024-12-18T04:51:04.0820810Z,1,2024-12-18T04:50:37.4770000Z,Record
27,22,29,593,1913,2024-12-18T04:51:04.0821547Z,1,2024-12-18T04:50:47.4770000Z,Record
28,22,30,560,1900,2024-12-18T04:51:04.0822010Z,1,2024-12-18T04:50:57.5080000Z,Record
29,22,29,550,1885,2024-12-18T04:51:07.6285177Z,1,2024-12-18T04:51:07.5710000Z,Record
0,21,30,586,1967,2024-12-18T04:51:44.7848736Z,1,2024-12-18T04:51:44.6960000Z,Record
1,22,30,565,1920,2024-12-18T04:51:54.8758943Z,1,2024-12-18T04:51:54.6800000Z,Record
2,22,30,550,1889,2024-12-18T04:52:04.9536401Z,1,2024-12-18T04:52:04.7120000Z,Record
3,22,29,538,1872,2024-12-18T04:52:14.9230414Z,1,2024-12-18T04:52:14.7430000Z,Record
4,22,30,528,1859,2024-12-18T04:52:24.9382708Z,1,2024-12-18T04:52:24.7900000Z,Record
5,22,29,511,1853,2024-12-18T04:52:35.0009930Z,1,2024-12-18T04:52:34.8530000Z,Record
6,22,30,504,1840,2024-12-18T04:52:45.1099554Z,1,2024-12-18T04:52:44.8840000Z,Record
7,22,29,501,1840,2024-12-18T04:52:55.0791212Z,1,2024-12-18T04:52:54.9000000Z,Record
8,22,30,495,1827,2024-12-18T04:53:05.1571363Z,1,2024-12-18T04:53:04.9780000Z,Record
9,22,29,485,1812,2024-12-18T04:53:15.1411895Z,1,2024-12-18T04:53:14.9940000Z,Record
10,22,29,464,1808,2024-12-18T04:53:25.2199404Z,1,2024-12-18T04:53:25.0410000Z,Record
11,22,30,477,1803,2024-12-18T04:53:35.2975327Z,1,2024-12-18T04:53:35.0720000Z,Record
12,22,29,453,1747,2024-12-18T04:53:45.2688940Z,1,2024-12-18T04:53:45.1350000Z,Record
13,22,30,467,1786,2024-12-18T04:53:55.2692906Z,1,2024-12-18T04:53:55.1510000Z,Record
14,22,29,463,1776,2024-12-18T04:54:05.3473467Z,1,2024-12-18T04:54:05.2290000Z,Record
15,22,30,453,1767,2024-12-18T04:54:15.4077044Z,1,2024-12-18T04:54:15.2290000Z,Record
16,22,29,454,1771,2024-12-18T04:54:25.4857193Z,1,2024-12-18T04:54:25.2610000Z,Record
17,23,29,448,1756,2024-12-18T04:54:35.5951424Z,1,2024-12-18T04:54:35.3710000Z,Record
18,21,30,447,1753,2024-12-18T04:54:45.5479792Z,1,2024-12-18T04:54:45.3710000Z,Record
19,21,30,445,1744,2024-12-18T04:54:55.6105112Z,1,2024-12-18T04:54:55.4020000Z,Record
20,22,30,448,1761,2024-12-18T04:55:05.5789658Z,1,2024-12-18T04:55:05.4330000Z,Record
21,22,29,444,1744,2024-12-18T04:55:15.6571862Z,1,2024-12-18T04:55:15.4800000Z,Record
22,22,30,438,1733,2024-12-18T04:55:25.6570525Z,1,2024-12-18T04:55:25.4800000Z,Record
23,22,30,438,1726,2024-12-18T04:55:35.6433410Z,1,2024-12-18T04:55:35.5270000Z,Record
24,22,30,432,1717,2024-12-18T04:55:45.7358990Z,1,2024-12-18T04:55:45.5890000Z,Record
25,22,31,430,1669,2024-12-18T04:55:55.8136460Z,1,2024-12-18T04:55:55.6520000Z,Record
26,22,31,428,1712,2024-12-18T04:56:05.8762437Z,1,2024-12-18T04:56:05.6360000Z,Record
27,22,31,429,1705,2024-12-18T04:56:15.8294959Z,1,2024-12-18T04:56:15.6830000Z,Record
28,22,29,425,1699,2024-12-18T04:56:26.0168091Z,1,2024-12-18T04:56:25.7770000Z,Record
