msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
2,23,29,790,1920,2024-12-13T07:46:15.6803879Z,1,2024-12-13T07:44:52.4860000Z,Record
3,23,29,773,1901,2024-12-13T07:46:15.7560668Z,1,2024-12-13T07:45:02.5330000Z,Record
4,23,28,752,1872,2024-12-13T07:46:15.7561381Z,1,2024-12-13T07:45:12.5490000Z,Record
5,23,29,734,1854,2024-12-13T07:46:15.7561829Z,1,2024-12-13T07:45:22.5960000Z,Record
6,23,29,715,1838,2024-12-13T07:46:15.7562771Z,1,2024-12-13T07:45:32.6280000Z,Record
7,23,29,690,1809,2024-12-13T07:46:15.7563603Z,1,2024-12-13T07:45:42.6750000Z,Record
8,23,28,678,1795,2024-12-13T07:46:15.7564086Z,1,2024-12-13T07:45:52.7060000Z,Record
9,23,29,660,1776,2024-12-13T07:46:15.7564498Z,1,2024-12-13T07:46:02.7690000Z,Record
10,23,29,625,1711,2024-12-13T07:46:15.7564968Z,1,2024-12-13T07:46:12.7850000Z,Record
11,23,29,611,1696,2024-12-13T07:46:22.8802203Z,1,2024-12-13T07:46:22.8320000Z,Record
12,23,29,603,1727,2024-12-13T07:46:33.0188143Z,1,2024-12-13T07:46:32.8780000Z,Record
13,23,29,605,1708,2024-12-13T07:46:43.1426880Z,1,2024-12-13T07:46:42.9250000Z,Record
14,23,29,592,1693,2024-12-13T07:46:53.1135151Z,1,2024-12-13T07:46:52.9720000Z,Record
15,24,28,573,1680,2024-12-13T07:47:03.2057269Z,1,2024-12-13T07:47:02.9880000Z,Record
16,24,29,573,1663,2024-12-13T07:47:13.1739552Z,1,2024-12-13T07:47:13.0200000Z,Record
17,22,30,561,1648,2024-12-13T07:47:23.2994859Z,1,2024-12-13T07:47:23.0700000Z,Record
