msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
12,25,28,426,1513,2024-12-12T10:45:20.7798288Z,1,2024-12-12T10:44:13.4350000Z,Record
10,25,28,431,1522,2024-12-12T10:45:20.8355474Z,1,2024-12-12T10:44:13.7940000Z,Record
11,25,28,429,1520,2024-12-12T10:45:20.8368020Z,1,2024-12-12T10:44:14.0600000Z,Record
11,25,28,429,1520,2024-12-12T10:45:20.8368830Z,1,2024-12-12T10:44:14.2310000Z,Record
13,25,28,421,1507,2024-12-12T10:45:20.8369267Z,1,2024-12-12T10:44:23.0070000Z,Record
14,25,27,422,1505,2024-12-12T10:45:20.8369819Z,1,2024-12-12T10:44:33.0570000Z,Record
15,26,27,422,1505,2024-12-12T10:45:20.8370240Z,1,2024-12-12T10:44:43.1190000Z,Record
16,26,27,418,1498,2024-12-12T10:45:20.8370626Z,1,2024-12-12T10:44:53.1380000Z,Record
17,24,28,418,1493,2024-12-12T10:45:20.8371001Z,1,2024-12-12T10:45:03.1690000Z,Record
18,24,28,413,1488,2024-12-12T10:45:20.8371383Z,1,2024-12-12T10:45:13.2010000Z,Record
19,31,24,411,1486,2024-12-12T10:45:23.4112340Z,1,2024-12-12T10:45:23.2480000Z,Record
20,25,27,413,1482,2024-12-12T10:45:33.5208906Z,1,2024-12-12T10:45:33.3420000Z,Record
21,25,35,413,1481,2024-12-12T10:45:43.3662887Z,1,2024-12-12T10:45:43.3420000Z,Record
22,25,29,408,1475,2024-12-12T10:45:53.5685082Z,1,2024-12-12T10:45:53.3890000Z,Record
23,25,29,406,1470,2024-12-12T10:46:03.6307140Z,1,2024-12-12T10:46:03.4040000Z,Record
24,25,29,411,1468,2024-12-12T10:46:13.4760068Z,1,2024-12-12T10:46:13.4370000Z,Record
25,25,27,403,1463,2024-12-12T10:46:23.6465310Z,1,2024-12-12T10:46:23.4680000Z,Record
26,25,27,401,1457,2024-12-12T10:46:33.7091993Z,1,2024-12-12T10:46:33.5310000Z,Record
27,25,27,401,1457,2024-12-12T10:46:43.6632787Z,1,2024-12-12T10:46:43.5770000Z,Record
28,24,29,401,1457,2024-12-12T10:46:53.8497461Z,1,2024-12-12T10:46:53.6400000Z,Record
29,25,27,401,1456,2024-12-12T10:47:03.9124191Z,1,2024-12-12T10:47:03.7180000Z,Record
30,25,27,384,1415,2024-12-12T10:47:15.5061103Z,1,2024-12-12T10:47:15.3440000Z,Record
30,25,27,384,1415,2024-12-12T10:47:15.8351688Z,1,2024-12-12T10:47:15.7810000Z,Record
31,25,27,400,1456,2024-12-12T10:47:23.9280990Z,1,2024-12-12T10:47:23.7500000Z,Record
