msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
20,19,30,1164,2235,2024-12-22T10:40:06.2924842Z,1,2024-12-22T10:38:46.4390000Z,Record
21,19,30,1164,2229,2024-12-22T10:40:06.3933461Z,1,2024-12-22T10:38:56.4710000Z,Record
22,19,30,1158,2227,2024-12-22T10:40:06.3974750Z,1,2024-12-22T10:39:06.5190000Z,Record
23,19,30,1156,2224,2024-12-22T10:40:06.3975579Z,1,2024-12-22T10:39:16.5500000Z,Record
24,19,31,1153,2224,2024-12-22T10:40:06.3976083Z,1,2024-12-22T10:39:26.5970000Z,Record
25,19,30,1152,2224,2024-12-22T10:40:06.3976518Z,1,2024-12-22T10:39:36.6440000Z,Record
26,19,30,1150,2223,2024-12-22T10:40:06.3977014Z,1,2024-12-22T10:39:46.6750000Z,Record
27,19,30,1149,2222,2024-12-22T10:40:06.3977460Z,1,2024-12-22T10:39:56.7070000Z,Record
28,19,38,1145,2222,2024-12-22T10:40:06.9508915Z,1,2024-12-22T10:40:06.7380000Z,Record
29,20,31,1111,2165,2024-12-22T10:40:16.9823418Z,1,2024-12-22T10:40:16.8000000Z,Record
30,19,30,1104,2173,2024-12-22T10:40:26.8745020Z,1,2024-12-22T10:40:26.8020000Z,Record
31,19,31,1136,2215,2024-12-22T10:40:37.0637471Z,1,2024-12-22T10:40:36.8640000Z,Record
32,19,31,1135,2210,2024-12-22T10:40:47.1416618Z,1,2024-12-22T10:40:46.8960000Z,Record
33,19,31,1094,2144,2024-12-22T10:40:57.1109063Z,1,2024-12-22T10:40:56.9420000Z,Record
34,20,30,1146,2223,2024-12-22T10:41:07.1733610Z,1,2024-12-22T10:41:06.9580000Z,Record
