msgCount,Temperature,Humidity,gasValue,COValue,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
24,19,31,1159,2207,2024-12-22T10:57:45.2133008Z,1,2024-12-22T10:56:23.7580000Z,Record
25,19,31,1154,2203,2024-12-22T10:57:45.5248690Z,1,2024-12-22T10:56:33.8050000Z,Record
26,20,31,1136,2177,2024-12-22T10:57:45.5261312Z,1,2024-12-22T10:56:43.8360000Z,Record
27,18,31,1136,2188,2024-12-22T10:57:45.5262199Z,1,2024-12-22T10:56:53.8830000Z,Record
28,19,31,1132,2190,2024-12-22T10:57:45.5262870Z,1,2024-12-22T10:57:03.9300000Z,Record
29,27,26,1129,2183,2024-12-22T10:57:45.5263378Z,1,2024-12-22T10:57:13.9610000Z,Record
30,19,31,1083,2176,2024-12-22T10:57:45.5263934Z,1,2024-12-22T10:57:23.9930000Z,Record
31,19,31,1120,2178,2024-12-22T10:57:45.5264350Z,1,2024-12-22T10:57:34.0390000Z,Record
32,22,8,1120,2185,2024-12-22T10:57:45.5264763Z,1,2024-12-22T10:57:44.0710000Z,Record
33,19,31,1109,2174,2024-12-22T10:57:54.2962274Z,1,2024-12-22T10:57:54.1030000Z,Record
34,19,32,1079,2123,2024-12-22T10:58:04.2642007Z,1,2024-12-22T10:58:04.1340000Z,Record
35,19,32,1108,2176,2024-12-22T10:58:14.3893743Z,1,2024-12-22T10:58:14.1970000Z,Record
36,19,32,1104,2174,2024-12-22T10:58:24.4522786Z,1,2024-12-22T10:58:24.2280000Z,Record
37,19,32,1103,2170,2024-12-22T10:58:34.4205677Z,1,2024-12-22T10:58:34.2750000Z,Record
38,19,32,1096,2167,2024-12-22T10:58:44.4832120Z,1,2024-12-22T10:58:44.3220000Z,Record
39,19,30,1096,2171,2024-12-22T10:58:54.5768527Z,1,2024-12-22T10:58:54.3530000Z,Record
40,19,30,1095,2167,2024-12-22T10:59:04.4239692Z,1,2024-12-22T10:59:04.3840000Z,Record
41,19,30,1079,2169,2024-12-22T10:59:14.5926408Z,1,2024-12-22T10:59:14.4310000Z,Record
42,19,30,1090,2162,2024-12-22T10:59:24.6552529Z,1,2024-12-22T10:59:24.4630000Z,Record
43,19,30,1084,2161,2024-12-22T10:59:34.7333614Z,1,2024-12-22T10:59:34.5100000Z,Record
